NO,source_id,source_name,source_url,description_mode,license_id,rights_holder,attribution_text,evidence_url,verified_at,rights_status,similarity_check,privacy_mode
WEB307bbcecf0,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e85997_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB3c7ebfbac0,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e84602_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB0a15d72c81,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e88036_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB50292501ac,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e88644_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBb4c075833e,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e88695_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB53155463c5,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e88696_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBd85a79cf4e,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e82007_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB1066cda810,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e87547_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBbc0cd84c25,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e84208_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB16290e1a92,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/2608hypnosismic-uchiwa.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
